QUERY_DATE,PARCEL_ID,ADDRESS,DOCUMENT_TYPE,BOOK,PAGE,GRANTOR,GRANTEE,RECORD_DATE,RAW_RESULT
2026-06-24 16:34:18,"231944","2501 MAPLEMERE CT","This online database is provided by the Durham County Register of Deeds office, solely for the convenience of its public users. While every effort is made to ensure that this information is accurate and current, the certified record, including historical indexes can be found on site.




 




Upon creating an online profile here, users are users are able to search birth, death and marriage records online and print uncertified copies 




 




All real estate documents are accessible online with the following exceptions. 




Historical Record","","","","","","This online database is provided by the Durham County Register of Deeds office, solely for the convenience of its public users. While every effort is made to ensure that this information is accurate and current, the certified record, including historical indexes can be found on site.




 




Upon creating an online profile here, users are users are able to search birth, death and marriage records online and print uncertified copies 




 




All real estate documents are accessible online with the following exceptions. 




Historical Record"
2026-06-24 16:34:22,"140082","4904 GARRETT RD 202","This online database is provided by the Durham County Register of Deeds office, solely for the convenience of its public users. While every effort is made to ensure that this information is accurate and current, the certified record, including historical indexes can be found on site.




 




Upon creating an online profile here, users are users are able to search birth, death and marriage records online and print uncertified copies 




 




All real estate documents are accessible online with the following exceptions. 




Historical Record","","","","","","This online database is provided by the Durham County Register of Deeds office, solely for the convenience of its public users. While every effort is made to ensure that this information is accurate and current, the certified record, including historical indexes can be found on site.




 




Upon creating an online profile here, users are users are able to search birth, death and marriage records online and print uncertified copies 




 




All real estate documents are accessible online with the following exceptions. 




Historical Record"
2026-06-24 16:34:25,"132068","707 LOCUST DR","This online database is provided by the Durham County Register of Deeds office, solely for the convenience of its public users. While every effort is made to ensure that this information is accurate and current, the certified record, including historical indexes can be found on site.




 




Upon creating an online profile here, users are users are able to search birth, death and marriage records online and print uncertified copies 




 




All real estate documents are accessible online with the following exceptions. 




Historical Record","","","","","","This online database is provided by the Durham County Register of Deeds office, solely for the convenience of its public users. While every effort is made to ensure that this information is accurate and current, the certified record, including historical indexes can be found on site.




 




Upon creating an online profile here, users are users are able to search birth, death and marriage records online and print uncertified copies 




 




All real estate documents are accessible online with the following exceptions. 




Historical Record"
2026-06-24 16:40:14,"231944","2501 MAPLEMERE CT","This online database is provided by the Durham County Register of Deeds office, solely for the convenience of its public users. While every effort is made to ensure that this information is accurate and current, the certified record, including historical indexes can be found on site.




 




Upon creating an online profile here, users are users are able to search birth, death and marriage records online and print uncertified copies 




 




All real estate documents are accessible online with the following exceptions. 




Historical Record","","","","","","This online database is provided by the Durham County Register of Deeds office, solely for the convenience of its public users. While every effort is made to ensure that this information is accurate and current, the certified record, including historical indexes can be found on site.




 




Upon creating an online profile here, users are users are able to search birth, death and marriage records online and print uncertified copies 




 




All real estate documents are accessible online with the following exceptions. 




Historical Record"
2026-06-24 16:40:18,"140082","4904 GARRETT RD 202","This online database is provided by the Durham County Register of Deeds office, solely for the convenience of its public users. While every effort is made to ensure that this information is accurate and current, the certified record, including historical indexes can be found on site.




 




Upon creating an online profile here, users are users are able to search birth, death and marriage records online and print uncertified copies 




 




All real estate documents are accessible online with the following exceptions. 




Historical Record","","","","","","This online database is provided by the Durham County Register of Deeds office, solely for the convenience of its public users. While every effort is made to ensure that this information is accurate and current, the certified record, including historical indexes can be found on site.




 




Upon creating an online profile here, users are users are able to search birth, death and marriage records online and print uncertified copies 




 




All real estate documents are accessible online with the following exceptions. 




Historical Record"
2026-06-24 16:40:25,"132068","707 LOCUST DR","This online database is provided by the Durham County Register of Deeds office, solely for the convenience of its public users. While every effort is made to ensure that this information is accurate and current, the certified record, including historical indexes can be found on site.




 




Upon creating an online profile here, users are users are able to search birth, death and marriage records online and print uncertified copies 




 




All real estate documents are accessible online with the following exceptions. 




Historical Record","","","","","","This online database is provided by the Durham County Register of Deeds office, solely for the convenience of its public users. While every effort is made to ensure that this information is accurate and current, the certified record, including historical indexes can be found on site.




 




Upon creating an online profile here, users are users are able to search birth, death and marriage records online and print uncertified copies 




 




All real estate documents are accessible online with the following exceptions. 




Historical Record"
